,text,classification,reclassification
10836,"Perennial with rootstocks; stems erect, 20-50 cm high, glabrous or nearly ",morphology,morphology
10837,"so. Flowers 5-10 mm across; pods crowded, 2-2.5 cm long. Rare; wet areas; ",morphology,morphology
10838,southern Rocky Mountains. ,habitat,habitat
10839,Cardaria hoary cress ,taxon_identification,taxon_identification
10840,Introduced perennial weeds spreading by seeds and by running roots penetrating deeply into the soil. Stem leaves alternate and clasping; basal ones ,morphology,morphology
10841,"with a short stalk. Flowers white in a close raceme. Seedpods varying in shape, ",morphology,morphology
10842,a character useful in distinguishing the species. ,taxon_identification,taxon_identification
10843,"1. Pods with downy hairs, globular and ",key,key
10844,inflated C. pubescens var. elongata ,key,key
10845,"Pods smooth, flattened, not hairy 2 ",morphology,key
10846,"2. Pods heart-shaped at base, not inflated C. draba ",key,key
10847,"Pods somewhat inflated, not heart-shaped ",morphology,key
10848,at base C. draba var. repens ,key,key
10849,Cardaria draba (L.) Desv. heart-podded hoary cress ,taxon_identification,taxon_identification
10850,"Perennial from deep running roots, with dense heads of white flowers and ",morphology,morphology
10851,"heart-shaped smooth seedpods. Introduced from Europe, found occasionally; ",habitat,habitat
10852,in gardens and shelterbelts; throughout the Prairie Provinces. ,habitat,habitat
10853,"The var. repens (Schrenk) O. E. Schulz, lens-podded hoary cress, is similar ",taxon_identification,taxon_identification
10854,"to the species, but with seedpods slightly inflated and almost round instead of ",morphology,morphology
10855,"heart-shaped. Introduced, probably from Afghanistan; found in the same ",habitat,habitat
10856,locations as the species. ,taxon_identification,taxon_identification
10857,Cardaria pubescens (Meyer) Rollins var. elongata Rollins ,taxon_identification,taxon_identification
10858,GLOBE-PODDED HOARY CRESS ,taxon_identification,taxon_identification
10859,"Plants similar to C. draba, but with leaves more hoary in appearance and ",key,key
10860,"seedpods globular, inflated with fine, downy hairs. Apparently introduced ",key,key
10861,"from Asia, becoming quite common; in gardens and shelterbelts and sometimes in fields and roadsides; southern part of the Prairie Provinces. ",habitat,habitat
10862,Cochlearia scurvy-grass ,taxon_identification,taxon_identification
10863,Cochlearia officinalis L. scurvy-grass ,taxon_identification,taxon_identification
10864,"Annual plants of very variable size, 1-40 cm high; basal leaves reniform, ",morphology,morphology
10865,"usually fleshy, glabrous. Flowers white, with petals 3-7 mm long; silicle ovoid ",morphology,morphology
10866,"to globose, 4-7 mm long. Shores and beaches. Rare; Hudson Bay. ",key,key
10867,Conringia hare's-ear mustard ,taxon_identification,taxon_identification
10868,Conringia orientalis (L.) Dum. hare'S-ear mustard ,taxon_identification,taxon_identification
10869,"An introduced annual or winter-annual weed with taproots and a perfectly smooth stem 15-60 cm high. Seedling leaves round, on stalks, but subsequent leaves clasping and elliptical, entire, eared at the base, quite smooth, ",morphology,morphology
10870,"and the whole plant covered with a bluish bloom. Flowers creamy white, ",morphology,morphology
10871,"about 6 mm across. Pods (Fig. W1F) narrow, 4-angled, erect, 7-10 cm long. ",morphology,morphology
10872,Common; roadside and field weed. ,habitat,habitat
10873,Descurainia tansy mustard ,taxon_identification,taxon_identification
10874,"Annuals or biennials from taproots, usually with much-dissected leaves, ",morphology,morphology
10875,"yellow flowers, and long narrow seedpods. ",morphology,morphology
10876,1. Both upper and lower leaves 2 or 3 times ,key,key
10877,divided 3 ,key,key
10878,Upper leaves simply pinnate 2 ,key,key
10879,2. Seeds in 1 row in each compartment of ,key,key
10880,pod; pods erect and closely pressed to ,morphology,key
10881,the stem; plant grayish D. richardsonii ,key,key
10882,Seeds in 2 rows in each compartment of ,key,key
10883,pod; pods divergent from stem D. pinnata var. brachycarpa ,key,key
10884,3. Pubescence of simple hairs; plants ,key,key
10885,glandular D. sophioides ,taxon_identification,key
10886,Pubescence of mostly stellate hairs; plants ,key,key
10887,not glandular D. sophia ,taxon_identification,taxon_identification
10888,Descurainia pinnata (Walt.) Britt. var. brachycarpa (Richards.) Fern. ,taxon_identification,taxon_identification
10889,SHORT-FRUITED TANSY MUSTARD ,taxon_identification,taxon_identification
10890,"Annual plants 20-60 cm high, erect, with a hairy and glandular stem. ",morphology,morphology
10891,Leaves dark green; the upper ones pinnate and the lower ones often 2 or 3 ,morphology,morphology
10892,"times divided, glandular. Flowers yellow. Pods somewhat club-shaped, 5-12 ",morphology,morphology
10893,"mm long, on stalks 8-15 mm long. Not very common; has been found in ",morphology,morphology
10894,southern part of the Prairie Provinces. Syn.: Sophia brachycarpa (Richards.) ,taxon_identification,taxon_identification
10895,Rydb. ,taxon_identification,taxon_identification
10896,Descurainia richardsonii (Sweet) O. E. Schulz GRAY tansy mustard ,taxon_identification,taxon_identification
10897,"Tall, erect biennial plants 30-90 cm high, with pinnate leaves, sometimes ",morphology,morphology
10898,"doubly pinnate. Whole plant covered with very fine hairs, giving it a grayish ",morphology,morphology
10899,"appearance. Flowers small, pale yellow. Pods small, 5-10 mm long, tightly ",morphology,morphology
10900,"compressed against stem, and crowded. Common; in fields and waste places; ",habitat,habitat
10901,throughout the Prairie Provinces. Syn.: Sophia richardsonii (Sweet) Rydb. ,taxon_identification,taxon_identification
10902,Descurainia sophia (L.) Webb. flixweed ,taxon_identification,taxon_identification
10903,"An annual or biennial, branched, with all leaves 2 or 3 times dissected, ",morphology,morphology
10904,"and with some star-like hairs. Flowers yellow. Pods linear, 10-30 mm long, on ",morphology,morphology
10905,"stalks 6-12 mm long, and borne at an angle from the stem. An introduced ",morphology,morphology
10906,"weed, which has become very common; in fields, waste places, and even on ",habitat,habitat
10907,prairie land; one of the commonest weeds in Western Canada. Syn.: Sophia ,taxon_identification,taxon_identification
10908,multifida Gilib. ,taxon_identification,taxon_identification
10909,Descurainia sophioides (Fisch.) O. E. Schulz northern flixweed ,taxon_identification,taxon_identification
10910,"Much like D. sophia, but brighter green and glandular. Inflorescence tardily elongating. Pods sickle-shaped, irregularly spreading to erect. Dry gravel ",morphology,morphology
10911,beds; Hudson Bay. Syn.: Sisymbrium sophioides Fisch. ,taxon_identification,taxon_identification
10912,Diplotaxis sand-rocket ,taxon_identification,taxon_identification
10913,Diplotaxis muralis (L.) DC. sand-rocket ,taxon_identification,taxon_identification
10914,"Annual plants, branched from base, 30-60 cm high. Stems leafy only near ",morphology,morphology
10915,"the base, with oblanceolate lobed leaves 5-10 cm long, usually with a slender ",morphology,morphology
10916,"stalk. Flowers yellow. Pods 20-25 mm long with a short beak, on stalks 10-15 ",morphology,morphology
10917,"mm long. Introduced from Europe, but occasionally found; in waste places; ",habitat,habitat
10918,throughout the Prairies and Parklands. ,habitat,habitat
10919,Draba whitlow-grass ,taxon_identification,taxon_identification
10920,"Low tufted plants, usually with a rosette of basal leaves, scapose or with a ",morphology,morphology
10921,"few stem leaves. Flowers small, white or yellow, usually in racemes. Pods (Fig. ",morphology,morphology
10922,"1 \1G) either oval or linear and flat, with seeds in 2 rows in each cell. ",key,key
10923,1. Flowering stems with 2 or more leaves 2 ,key,key
10924,"Flowering stems leafless, or at most with a ",morphology,key
10925,reduced leaf. 12 ,key,key
10926,2. Flowers white 3 ,key,key
10927,Flowers yellow 10 ,key,key
10928,3. Stem leaves all or mostly opposite D. reptans var. micrantha ,key,key
10929,Stem leaves alternate 4 ,key,key
10930,"4. Stem leaves numerous, usually 6-25 D. incana ",key,key
10931,Stem leaves usually not more than 3-8 5 ,key,key
10932,5. Pods glabrous 6 ,key,key
10933,Pods pubescent 7 ,morphology,key
10934,"6. Basal leaves 1-2 cm long, narrowly lanceolate; pedicels ascending D. hirta ",key,key
10935,"Basal leaves 1-4 cm long, obovate to ",morphology,key
10936,oblanceolate; pedicels spreading D. stenoloba ,key,key
10937,7. Stems often with only 1 leaf; leaves ciliate ,key,key
10938,toward the base D. cinerea ,key,key
10939,Stems usually with 3-5 leaves; leaves not ,key,key
10940,ciliate 8 ,key,key
10941,"8. Pubescence, including that of the pods, of ",morphology,key
10942,stellate hairs D. lanceolata ,key,key
10943,Pubescence of the pods of simple or 2forked hairs 9 ,morphology,morphology
10944,"9. Pods mostly 10-15 mm long, linear, about ",morphology,morphology
10945,2 mm wide D. praealta ,key,key
10946,"Pods mostly 7-10 mm long, lanceolate, ",morphology,key
10947,about 3 mm wide D. mccallae ,key,key
10948,"10. Stem leaves usually numerous, often ",key,key
10949,10-15 D.aurea ,morphology,key
10950,Stem leaves usually 1-5 1 1 ,key,key
10951,11. Plants annual; pedicels 1.5-4 times as ,key,key
10952,long as the pod D. nemorosa ,key,key
10953,Plants biennial or perennial; pedicels half ,morphology,key
10954,as long as the pod D. stenoloba ,key,key
10955,"12. Plants annual; inflorescence short, with ",key,key
10956,stems flexuous; pods 10-15 mm long D. reptans var. micrantha ,key,key
10957,Plants biennial or perennial; inflorescence ,morphology,morphology
10958,elongate; pods usually less than 10 mm ,morphology,morphology
10959,long 13 ,key,key
10960,13. Flowers white 14 ,key,key
10961,Flowers yellow 17 ,key,key
10962,"14. Leaves ciliate, at least toward the base 15 ",key,key
10963,"Leaves densely stellate throughout, not ",morphology,morphology
10964,ciliate D. nivalis ,taxon_identification,taxon_identification
10965,"15. Plants densely stellate, pubescent ",key,key
10966,throughout D. cinerea ,taxon_identification,key
10967,Plants not densely pubescent 16 ,key,key
10968,"16. Basal leaves rather thick, oblong-spatulate, subglabrous D. crassifolia ",key,key
10969,"Basal leaves oblong-obovate, usually ",morphology,key
10970,"sparsely pubescent, not thick D. fladnizensis ",key,key
10971,"17. Basal leaves glabrous, but ciliate toward ",key,key
10972,the tip D. crassifolia ,key,key
10973,"Basal leaves more or less pubescent, at ",morphology,key
10974,least below 18 ,key,key
10975,"18. Stems glabrous; leaves very narrow, ",key,key
10976,"mostly less than 1 mm, ",key,key
10977,stellate-pubescent D. oligosperma ,taxon_identification,key
10978,Stems pubescent; leaves mostly 1 mm ,key,key
10979,wide or wider 19 ,key,key
10980,"19. Leaf margins conspicuously long-ciliate, ",key,key
10981,pubescent with long tangled hairs D. stenopetala ,key,key
10982,Leaf margins not long-ciliate 20 ,key,key
10983,20. Pubescence of simple or forked hairs D. alpina ,key,key
10984,Pubescence mostly of stellate hairs D. incerta ,key,key
10985,Draba alpina L. alpine whitlow-grass ,taxon_identification,taxon_identification
10986,"Plants with a dense rosette, the leaves elliptic-lanceolate, densely pubescent, entire. Scape to 20 cm high, slightly elongating in fruit. Flowers 6—10 mm ",morphology,morphology
10987,"across, bright yellow; pods glabrous. Open places in rocky arctic tundra; ",habitat,habitat
10988,"Boreal forest, Manitoba. ",habitat,habitat
10989,Draba aurea Vahl golden whitlow-grass ,taxon_identification,taxon_identification
10990,Plants with basal rosettes and erect or decumbent leafy stems. Stem leaves ,morphology,morphology
10991,"entire or somewhat dentate. Flowers 8-12 mm across, yellow; pods 8-16 mm ",morphology,morphology
10992,"long, puberulent, often twisted. Open forest and alpine meadows; Rocky ",habitat,habitat
10993,Mountains. Plants with glabrous pods are var. leiocarpa (Payson & St. John) C. ,taxon_identification,taxon_identification
10994,L. Hitchc. ,taxon_identification,taxon_identification
10995,Draba cinerea Adams ,taxon_identification,taxon_identification
10996,"Plants densely stellate-pubescent in all parts; stems 5-25 cm high, with ",morphology,morphology
10997,"1-4 stem leaves. Flowers 6-10 mm across; pods 4-8 mm long, inflated. Sandy ",morphology,morphology
10998,or gravelly areas; southern Rocky Mountains. ,habitat,habitat
10999,Draba crassifolia R. C. Graham thick-lea ved whitlow-grass ,taxon_identification,taxon_identification
11000,"Dwarf perennial plants with dense rosettes; leaves rather thick, sparsely ",morphology,morphology
11001,"pubescent. Stems usually leafless, 5-15 cm high, glabrous. Flowers 4-6 mm ",morphology,morphology
11002,"across, with the petals little larger than the sepals; pods 4^7 mm long, glabrous. Alpine meadows and scree fields; southern Rocky Mountains. ",key,key
11003,Draba fladnizensis Wulf. ,taxon_identification,taxon_identification
11004,"Small, often dwarf perennials, with stems rarely more than 10 cm high. ",morphology,morphology
11005,"Stem leaves 0-2; basal leaves oblong-obovate, glabrous except the ciliate margins. Inflorescence 2- to 10-flowered; flowers 5-8 mm across; pods 5-7 mm ",morphology,morphology
11006,"long. Arctic and alpine, usually stony areas; Boreal forest, southern Rocky ",habitat,habitat
11007,Mountains. ,habitat,habitat
11008,Draba hirta L. hairy whitlow-grass ,taxon_identification,taxon_identification
11009,"Plants with stems to 25 cm high, and 1-4 stem leaves, usually unbranched. ",morphology,morphology
11010,"Basal leaves to 2 cm long, narrowly lanceolate, subentire, ciliate, and more or ",morphology,morphology
11011,"less densely stellate-pubescent. Flowers 6-10 mm across, creamy white or light ",morphology,morphology
11012,"yellow; pods 6-12 mm long, glabrous, often somewhat twisted. Gravelly ",morphology,morphology
11013,"shores and riverbanks; Boreal forest, Rocky Mountains. ",habitat,habitat
11014,Draba incana L. ,taxon_identification,taxon_identification
11015,"Plants biennial or short-lived perennial; stems to 35 cm high, erect, simple ",morphology,morphology
11016,"or branched, with 6-25 stem leaves. Basal leaves 1-2.5 cm long, pubescent ",morphology,morphology
11017,"with simple or branched hairs. Stem, stem leaves, and inflorescence stellate-pubescent. Flowers 6-10 mm across, white; pods 6-10 mm long, often somewhat ",morphology,morphology
11018,"twisted. Dry gravel beds; Boreal forest, Manitoba. ",habitat,habitat
11019,Draba incerta Payson ,taxon_identification,taxon_identification
11020,"Loosely tufted perennial; scapes 2-10 cm high, often with a reduced leaf ",morphology,morphology
11021,"below the first flower, pubescent with branched hairs. Leaves linear-oblanceolate, stellate-pubescent below. Flowers 8-10 mm across, yellow; pods 5-10 mm ",morphology,morphology
11022,"long, pubescent. Alpine meadows and slopes; Rocky Mountains. ",habitat,habitat
11023,Draba lanceolata Royle ,taxon_identification,taxon_identification
11024,"Plants perennial, with leafy simple or branched stems 5-25 cm high, ",morphology,morphology
11025,"pubescent; basal leaves 1-3 cm long, stem leaves 5-25 mm long, dentate, ",morphology,morphology
11026,"pubescent with stellate or bushy hairs. Flowers 6-10 mm across, white; pods ",morphology,morphology
11027,"4-12 mm long, often twisted, pubescent. Meadows and slopes; Rocky Mountains. ",morphology,morphology
11028,Draba mccallae Rydb. ,taxon_identification,taxon_identification
11029,"Plants to 25 cm high, with 3-5 or sometimes more stem leaves. Stem long ",key,key
11030,pilose below; leaves stellate pubescent. Flowers 6-10 mm across; pods 7—10 ,morphology,morphology
11031,"mm long, densely puberulent. Meadows, slopes, and gravel banks; southern ",morphology,morphology
11032,Rocky Mountains. ,habitat,habitat
11033,Draba nemorosa L. yellow whitlow-grass ,taxon_identification,taxon_identification
11034,"A low plant, 10-30 cm high, branching from the rosette of basal leaves. ",morphology,morphology
11035,"Flowers pale yellow, occasionally fading to white; pods 6-8 mm long, on oval ",morphology,morphology
11036,stalks 6-20 mm long. Fairly common; throughout southern part of the Prairie ,morphology,morphology
11037,Provinces. The var. leiocarpa Lindbl. differing from the type by having smooth ,taxon_identification,taxon_identification
11038,"pods (Fig. 1 17(7) and being probably more plentiful, especially in the northern ",taxon_identification,taxon_identification
11039,and eastern parts. Both the species and the variety flowering quite early in the ,taxon_identification,taxon_identification
11040,spring. Syn.: D. lutea Gilib. ,taxon_identification,taxon_identification
11041,Draba nivalis Liljeb. ,taxon_identification,taxon_identification
11042,"Perennial plants with rosettes on the caudex branches; leaves densely stellate-pubescent, with branched hairs mixed in. Stems 2-10 cm high, leafless or ",morphology,morphology
11043,"with a single reduced leaf. Flowers 5-10 mm across, white. In var. nivalis, the ",key,key
11044,"pods less than 1 cm long, flat to slightly twisted; rock outcrops; Boreal forest ",morphology,key
11045,"and southern Rocky Mountains; in var. elongata Wats., the pods 10-15 mm ",key,key
11046,"long, and conspicuously twisted; alpine areas; southern Rocky Mountains. ",key,key
11047,Draba oligosperma Hook. few-seeded whitlow-grass ,taxon_identification,taxon_identification
11048,Small perennials with rosettes on the caudex branches. Scapes 1-10 cm ,morphology,morphology
11049,"high; flowers 6-10 mm across, yellow; pods 3-5 mm long, ovate, pubescent to ",morphology,morphology
11050,glabrous. Rocky alpine areas; southern Rocky Mountains. ,habitat,habitat
11051,Draba praealta Greene ,taxon_identification,taxon_identification
11052,"Biennial or perennial plants with stems 10-30 cm high, and compact ",morphology,morphology
11053,"rosettes. Basal leaves 1-3 cm long, entire or somewhat dentate, densely pubescent with branched hairs. Stem leaves 2-6, densely pubescent. Flowers 4—8 ",morphology,morphology
11054,"mm across, white; pods 8-15 mm long, soft pubescent. Slopes and rocky areas; ",morphology,morphology
11055,Rocky Mountains. ,habitat,habitat
11056,Draba reptans (Lam.) Fern. var. micrantha (Nutt.) Fern. ,taxon_identification,taxon_identification
11057,CREEPING WHITLOW-GRASS ,taxon_identification,taxon_identification
11058,"A small plant 2-15 cm high, with a leafy stem. Leaves usually 8-20 mm ",morphology,morphology
11059,"long. White flowers, 4-6 mm across, but often without petals; pods linear, 8-12 ",morphology,morphology
11060,"mm long, clustered near the top of the stem, usually covered with fine, stiff ",morphology,morphology
11061,hairs. Flowering in early June. Not common; has been found in disturbed ,key,key
11062,sandy areas; Prairies. ,habitat,habitat
11063,Draba stenoloba Ledeb. ,taxon_identification,taxon_identification
11064,"Biennial or perennial plants 5-30 cm high, with stems arising from a simple caudex, glabrous above, somewhat pubescent below, with 1-4 pubescent ",morphology,morphology
11065,"leaves. Basal leaves 1^4 cm long, denticulate, stiffly pubescent. Flowers 6-10 ",morphology,morphology
11066,"mm across, yellow; pods 8-20 mm long. Alpine slopes; southern Rocky ",morphology,morphology
11067,Mountains. Plants with the pubescence mostly of simple hairs and the stem ,key,key
11068,coarsely pilose are var. nana (Schulz) C. L. Hitchc; southern Rocky Mountains. ,taxon_identification,taxon_identification
11069,Draba stenopetala Trautv. ,taxon_identification,taxon_identification
11070,Perennial mat-forming plants with leafless stems 1-6 cm high; leaves ,morphology,morphology
11071,"crowded, linear to linear-oblanceolate, the margins ciliate with simple or ",morphology,morphology
11072,"branched hairs, pubescent below with simple or branched hairs. Flowers 5-9 ",morphology,morphology
11073,"mm across, light yellow; pods 3-5 mm long, ovate, pubescent to subglabrous. ",morphology,morphology
11074,Alpine slopes; southern Rocky Mountains. Syn.: D. paysonii Macbr. var. ,habitat,habitat
11075,treleasii (Schulz) C. L. Hitchc. ,taxon_identification,taxon_identification
11076,Eruca rocket ,taxon_identification,taxon_identification
11077,Eruca sativa L. garden-rocket ,taxon_identification,taxon_identification
11078,"Annual plants, with stems 20-100 cm high; leaves lyrate-pinnatifid, with ",morphology,morphology
11079,"the terminal lobe large, and 2-5 pairs of lateral lobes. Flowers 30-40 mm ",morphology,morphology
11080,"across, whitish or yellowish, purplish-veined; pods 12-25 mm long. Introduced; occasionally escaped from cultivation. ",morphology,morphology
11081,Erucastrum dog mustard ,taxon_identification,taxon_identification
11082,Erucastrum gallicum (Willd.) O. E. Schulz DOG MUSTARD ,taxon_identification,taxon_identification
11083,"An annual plant 20-50 cm high, erect, with stem hairs pointing downward. Leaves deeply cut, often to the midrib, making them appear pinnate, ",morphology,morphology
11084,and often deeply lobed. Leaves varying to 25 cm long. Flowers pale yellow; ,key,key
11085,"pods 25-40 mm long, linear, circular in cross section, on a short stalk tipped ",morphology,morphology
11086,"with a slender style, with one row of seeds in each compartment. An introduced weed; in grainfields; throughout Prairies and Parklands. ",morphology,morphology
11087,Erysimum treacle mustard ,taxon_identification,taxon_identification
11088,"Annual or biennial plants with leafy stems and 2-branched hairs, yellow ",morphology,morphology
11089,flowers and linear 4-angled seedpods with seeds in one row in each compartment. ,morphology,morphology
11090,"1. Flowers large, 2.-4 cm across, purple E. pallassii ",key,key
11091,"Flowers smaller, yellow 2 ",morphology,key
11092,2. Petals longer than 10 mm E. asperum ,key,key
11093,Petals shorter than 10 mm 2 ,key,key
11094,3. Stalks of seedpods almost half as long as ,key,key
11095,pods E. cheiranthoides ,taxon_identification,taxon_identification
11096,Stalks of seedpods not one-quarter as ,morphology,morphology
11097,"long as pods , 4 ",morphology,morphology
11098,4. Pubescence mostly or entirely of 2branched hairs E. inconspicuum ,key,key
11099,Pubescence mostly or entirely of stellate ,key,key
11100,hairs E. hieracifolium ,key,key
11101,Erysimum asperum (Nutt.) DC. (Fig. 1 19) western wallflower ,taxon_identification,taxon_identification
11102,"A rough, usually erect plant 20-60 cm high, often much branched and ",morphology,morphology
11103,"coarse, with appressed small white hairs. Flowers pale yellow, 10-15 mm ",morphology,morphology
11104,"across; pods 3-10 cm long, narrow, rough, and 4-angled, with a short, thick ",morphology,morphology
11105,"style at the end, and a very short, stout stalk. Spreading out considerably from ",morphology,morphology
11106,"the stem in all directions. Common; on light and sandy soil; in Prairies, rare in ",habitat,habitat
11107,Parklands. Syn.: Cheirinia aspera (Nutt.) Rydb. ,taxon_identification,taxon_identification
11108,Erysimum cheiranthoides L. wormseed mustard ,taxon_identification,taxon_identification
11109,"An erect plant 20-60 cm high, with lanceolate or oblong-lanceolate dark ",morphology,morphology
11110,"green leaves 2-10 cm long. Flowers yellow and small, about 5 mm across, in ",morphology,morphology
11111,"dense terminal clusters 2-3 cm across. Seedpods linear, 10-25 mm long, on ",morphology,morphology
11112,slender stalks 6-12 mm long. Not common; a weedy plant found in moist ,morphology,morphology
11113,places and fields; throughout the Prairie Provinces. Syn.: Cheirinia ,habitat,habitat
11114,cheiranthoides (L.) Link. ,taxon_identification,taxon_identification
11115,"Fig. 119. Western wallflower, Erysimum asperum (Nutt.) DC. ",taxon_identification,taxon_identification
11116,Erysimum hieracifolium L. GRAY rocket ,taxon_identification,taxon_identification
11117,"Biennial or perennial plants 30-80 cm high; leaves linear or oblong, wavydentate, greenish gray. Flowers 15-20 mm across; pods 30-55 mm long, 4-angled. Rare, introduced weed; southeastern Parklands. ",morphology,morphology
11118,Erysimum inconspicuum (S. Wats.) MacM. small-flowered prairie-rocket ,taxon_identification,taxon_identification
11119,"An erect grayish green perennial 20-50 cm high, and not much branched. ",morphology,morphology
11120,"Leaves narrow, 2-8 cm long, the lower ones having stalks but the upper ones ",morphology,morphology
11121,"stalkless. Yellow flowers about 6 mm across, on the top of the stem. Linear ",morphology,morphology
11122,seedpods 2-6 cm long on a very short stalk and borne erect on the stem. Common; on dry and sandy prairie; throughout Prairies and Parklands. Syn.: E. ,morphology,morphology
11123,parviflorum Nutt. ,taxon_identification,taxon_identification
11124,Erysimum pallassii (Pursh) Fern. purple rocket ,taxon_identification,taxon_identification
11125,"Biennial plants 10-20 cm high, with numerous linear leaves. Pods 6-10 ",morphology,morphology
11126,"cm long, ascending. Shale and gravel slides; southern Rocky Mountains. ",key,key
11127,Eutrema ,taxon_identification,taxon_identification
11128,Eutrema edwardsii R. Br. ,taxon_identification,taxon_identification
11129,"Rhizomatous perennial to 40 cm high, with rather fleshy ovate to orbicular leaves, truncate to cordate at the base. Flowers 5-8 mm across; pods 6-20 ",morphology,morphology
11130,"mm long, linear to oblong, erect or appressed. Arctic and alpine tundra; ",key,key
11131,"Boreal forest, southern Rocky Mountains. ",habitat,habitat
11132,Halimolobos ,taxon_identification,taxon_identification
11133,Halimolobos virgata (Nutt.) O. E. Schulz ,taxon_identification,taxon_identification
11134,"Perennial plants 15-40 cm high, much resembling Arabis ssp., densely ",morphology,morphology
11135,"pubescent with branched and stellate hairs. Flowers 4-8 mm across, white; ",morphology,morphology
11136,"pods 1-3 cm long, round, slightly constricted between the seeds, strongly ",morphology,morphology
11137,ascending. Dry grasslands; western Prairies. ,habitat,habitat
11138,Hesperis rocket ,taxon_identification,taxon_identification
11139,Hesperis matronalis L. DAME'S-ROCKET ,taxon_identification,taxon_identification
11140,"A tall perennial species with erect stems 30-100 cm high, simple or ",morphology,morphology
11141,"branched above. Leaves simple oblong- to ovate-lanceolate, dentate, pubescent on both sides. Flowers 3-5 cm across, purple, fragrant; pods 5-10 cm ",morphology,morphology
11142,"long, linear, ascending or spreading. Introduced ornamental, occasionally ",morphology,morphology
11143,escaped and established; in tree groves or shrubbery. ,habitat,habitat
11144,Hymenolobus ,taxon_identification,taxon_identification
11145,Hymenolobus procumbens (L.) Nutt. ,taxon_identification,taxon_identification
11146,"Small annual or biennial plants 3-30 cm high, with stems procumbent or ",morphology,morphology
11147,"erect. Lower leaves entire to deeply lyrate-pinnatifid; stem leaves entire, ",morphology,morphology
11148,"pubescent throughout with sparse simple hairs. Inflorescence many-flowered, ",morphology,morphology
11149,"the flowers 3-6 mm across; petals white, spatulate, the same length as or somewhat exceeding the sepals; pods 1.5-5 mm long, elliptic to obovate, with the ",morphology,morphology
11150,"valves translucent. Very rare; wet, often saline areas; Hudson Bay, Prairies. ",habitat,habitat
11151,Syn.: Hutchinsia procumbens (L.) Desv. ,taxon_identification,taxon_identification
11152,Lepidium pepper-grass ,taxon_identification,taxon_identification
11153,"Annual or perennial herbs, glabrous or pubescent with simple hairs. ",morphology,morphology
11154,"Inflorescence in dense, bractless racemes; flowers small, usually with whitish ",morphology,morphology
11155,"petals, or apetalous. Fruit a silicle, strongly flattened at right angles to the septum, orbicular to ovate or obovate; seeds one in each locule. Weedy plants of ",key,key
11156,"roadsides, waste places, and disturbed areas. ",habitat,key
11157,1. Upper leaves with a sagittate or cordateclasping base 2 ,key,key
11158,Upper leaves tapering at the base 3 ,key,key
11159,"2. Auricles of the leaf base acute, much ",key,key
11160,shorter than the leaf blade; lower ,key,key
11161,leaves similar to the upper leaves L. campestre ,key,key
11162,"Auricles of the leaf base rounded, about ",key,key
11163,the same length as the leaf blade; lower ,key,key
11164,leaves pinnate L. perfoliatum ,key,key
11165,3. Silicle not notched at the apex; perennial ,morphology,morphology
11166,plant L. latifolium ,taxon_identification,taxon_identification
11167,Silicle notched at the apex; annual plant 4 ,key,key
11168,"4. Silicle 5-7 mm long, distinctly winged; ",key,key
11169,stamens 6; petals 2 mm long L. sativum ,key,key
11170,"Silicle 2-A mm long, not winged; stamens ",morphology,key
11171,2 or 4; petals minute or none 5 ,key,key
11172,5. Plants with short axillary racemes as well ,key,key
11173,"as terminal ones; petals linear, shorter ",morphology,key
11174,than the sepals L. ramosissimum ,key,key
11175,Plants with elongated terminal racemes; ,key,key
11176,petals none or rudimentary 6 ,key,key
11177,"6. Silicles oval or elliptic-ovate, gradually ",key,key
11178,narrowed toward the apical teeth; ,key,key
11179,basal leaves bipinnatifid L. ruderale ,key,key
11180,"Silicles round-cordate or round-obovate, ",morphology,morphology
11181,rounded at the apex; basal leaves at ,morphology,morphology
11182,most pinnatifid L. densiflorum ,taxon_identification,taxon_identification
11183,Lepidium campestre (L.) R. Br. pepperwort ,taxon_identification,taxon_identification
11184,"An annual or biennial species, with simple or branched stems 20-50 cm ",morphology,morphology
11185,"high, grayish green, densely pubescent. Basal leaves entire or lyrate; lower ",morphology,morphology
11186,"stem leaves petiolate, the upper ones clasping the stem with sagittately lobed ",morphology,morphology
11187,"leaves. Flowers about 3 mm across, white; silicle about 5 mm long. Rare; ",key,key
11188,"introduced weed, roadsides, railway grades; western Prairies. ",habitat,habitat
11189,Lepidium densiflorum Schrad. common pepper-grass ,taxon_identification,taxon_identification
11190,"An annual or winter annual with erect stem, much branched above, 15-60 ",morphology,morphology
11191,"cm high. Stem leaves lanceolate, with a few coarse teeth; basal leaves often ",morphology,morphology
11192,"deeply incised and divided. Flowers minute, with petals missing or very rudimentary. Seedpods borne on short stalks and very numerous on the stem, the ",morphology,morphology
11193,"spike of pods often 10-15 cm long; each pod about 2-3 mm wide, heartshaped with a notch at the top, and containing a single seed in each compartment. Common; in fields, waste places, and roadsides; throughout the Prairie ",morphology,morphology
11194,Provinces. Syn.: L. apetalum A. Gray. Plants with flattened pedicels and some ,taxon_identification,taxon_identification
11195,axillary racemes are var. bourgeauanum (Thell.) C. L. Hitchc. ,taxon_identification,taxon_identification
11196,Lepidium latifolium L. broad-leaved pepper-grass ,taxon_identification,taxon_identification
11197,"Tall plants 50-100 cm high, with a thick, branching rootstock, glabrous or ",morphology,morphology
