,0,1
15817,occasional weed in disturbed areas and shores. ,habitat
15818,Eryngium eryngo ,morphology
15819,Eryngium planum L. cross-thistle ,taxon_identification
15820,"Perennial plants, with stems 25-100 cm high. Basal leaves persistent, 5-10 ",morphology
15821,"cm long, 3-6 cm wide, ovate-oblong, cordate at the base, the margins serrate, ",morphology
15822,"spinulose. Inflorescence usually bluish with several ovoid-globose heads, 1-2 ",morphology
15823,"cm long, 10-15 mm wide; bracts 15-25 mm long, linear-lanceolate, with up to ",morphology
15824,4 pairs of spiny teeth. Introduced ornamental; occasionally escaped. ,key
15827,"Fig. 162. Plains cymopterus, Cymopterus acaulis (Pursh) Raf. ",taxon_identification
15829,Heracleum cow-parsnip ,taxon_identification
15830,Heracleum lanatum Michx. (Fig. 163) cow-parsnip ,taxon_identification
15831,"A tall, coarse plant, with somewhat woolly or hairy stem, 1-2.5 m high. ",morphology
15832,"Leaves stalked, 10-30 cm wide, divided into 3 broad segments, very hairy ",morphology
15833,"below. Flowers white, in large flat umbels 15-30 cm across. Fruit oval, 8-12 ",morphology
15834,"mm long, with very fine hairs, pale tawny when mature. Common; in shady ",morphology
15835,woodland and moist places; throughout the Prairie Provinces. Easily distinguished from Cicuta or Sium by its broad leaves and unpleasant odor. Known ,habitat
15836,to cause dermatitis in humans. Syn.: H. maximum Bartr. ,taxon_identification
15837,Levisticum lovage ,morphology
15838,Levisticum officinale Koch lavas ,taxon_identification
15839,"Stout perennials, with stems 1-2 m high. Leaves to 70 cm long, 60 cm ",morphology
15840,"wide, triangular in outline; leaflets long-cuneate, entire below, dentate in the ",morphology
15841,"upper part. Umbels 3-10 cm across, with 12-20 rays; bracts numerous, ",morphology
15842,deflexed; fruit 5-7 mm long. Introduced; cultivated as an aromatic herb; the ,morphology
15843,root useful in veterinary medicine; occasionally escaped. ,morphology
15844,Lomatium prairie parsley ,taxon_identification
15845,"Very short-stemmed perennial growing from a thickened tuberous root, ",morphology
15846,"with ternately or pinnately dissected somewhat hairy leaves, and yellow, purple, or white flowers. No bracts below head of flowers but usually small bractlets below the separate small umbels making up the head. Plants covered with ",key
15847,fine gray hairs. ,morphology
15848,"1. Leaf divided into few elongate, linear ",key
15849,leaflets L. triternatum ,taxon_identification
15850,"Leaf divided into numerous short, narrow ",morphology
15851,ultimate segments 2 ,key
15852,2. Ovary and fruit densely puberulent 3 ,key
15853,Ovary and fruit glabrous 4 ,key
15854,3. Bractlets fused at the base; plants villous ,key
15855,throughout L. villosum ,taxon_identification
15856,Bractlets free from the base; plants sparingly pubescent L. sandbergii ,key
15857,4. Bractlets oblanceolate; root bulbous L. cous ,key
15858,"Bractlets lanceolate, widest at base; root ",morphology
15859,not bulbous 5 ,key
15860,5. Stem glabrous; foliage puberulent L. dissectum var. multifidum ,key
15861,Stem and foliage more or less densely ,key
15862,pubescent 6 ,key
15863,6. Stems usually with at least one pair of ,key
15864,leaves near the base L. macrocarpum ,key
15865,Stems leafless or with a single leaf at the ,key
15866,base L. orientate ,key
15869,"Fig. 163. Cow-parsnip, Hcracleum lanatum Michx. ",taxon_identification
15871,Lomatium cous (Wats.) Coult. & Rose biscuit-root ,taxon_identification
15872,"Plants stemless or with a leaf at the base, 20-25 cm high, from a globose ",morphology
15873,"or somewhat elongate tuberous root. Leaves ternate, with divisions 2- or 3-pinnate; the ultimate segments 1-5 mm long, usually glabrous. Umbel with 10-20 ",morphology
15874,"unequal rays; flowers yellow; fruit 7-10 mm long, with the wings narrower ",key
15875,than the body. Very rare; grassland slopes; Cypress Hills. ,habitat
15876,Lomatium dissectum (Nutt.) Mathias & Constance ,taxon_identification
15877,var. multifidum (Nutt.) Mathias & Constance mountain wild parsnip ,taxon_identification
15878,"A plant with a thick, knobby spindle-shaped root, 30-90 cm high. Leaves ",morphology
15879,"in 2 or 3 sections of several times divided leaflets, the ultimate divisions being ",key
15880,"linear. Flowers yellow, in a large umbel, followed by flattened fruits 8-12 mm ",morphology
15881,"long, with thickened corky side wings. Found occasionally; Foothills region. ",key
15882,Syn.: Leptotaenia multifida Nutt. ,taxon_identification
15883,Lomatium macrocarpum (Hook. & Arn.) Coult. & Rose long-fruited parsley ,taxon_identification
15884,"A semidecumbent plant growing from a thick, deep taproot, usually with ",morphology
15885,very short stems. Leaves and leaf stalks covered with fine grayish hairs. Leaves ,morphology
15886,"3 or 4 times pinnately divided. Flowers white, in compound umbels. Fruit ",key
15887,"flattened, about 9 mm or more long, with broad creamy white wings almost as ",key
15888,wide as body of fruit. Found occasionally; on dry and rocky hillsides; Prairies. ,key
15889,Syn.: Cogswellia macrocarpa (Nutt.) M. E. Jones. ,taxon_identification
15890,Lomatium orientale Coult. & Rose white-flowered parsley ,taxon_identification
15891,"Resembling the preceding species but having white or pinkish flowers, ",morphology
15892,"translucent-margined bractlets, and fruit not longer than 6 mm. Rare; but has ",key
15893,been reported from dry hillsides; southeastern Parklands. Syn.: Cogswellia ,morphology
15894,orientalis (Coult. & Rose) M. E. Jones. ,taxon_identification
15895,Lomatium sandbergii Coult. & Rose sandbercs wild parsley ,taxon_identification
15896,"Plants with a stout taproot; the stems 10-25 cm high, more or less clearly ",morphology
15897,"leafy at base. Umbels 2-5 cm across; the bractlets narrowly elongate, sometimes lobed at the apex; flowers yellow; fruit 5-7 mm long, densely puberulent. Rare; open alpine areas; southern Rocky Mountains. ",key
15898,Lomatium triternatum (Pursh) Coult. & Rose western wild parsley ,taxon_identification
15899,"A species 30-60 cm high, with doubly ternate leaves; the leaflets narrow, ",morphology
15900,"5-10 cm long. Yellow flowers, in a compound umbel with no bracts, but usually a few bractlets. Fruit winged and hairless or finely puberulent. Grassland, ",morphology
15901,"openings, and slopes; southern Rocky Mountains. Includes L. simplex (Nutt.) ",habitat
15902,Macbr. ,taxon_identification
15903,Lomatium villosum Raf. (Fig. 164) hairy-fruited parsley ,taxon_identification
15904,"A low, usually prostrate finely hairy plant, from an enlarged taproot. Leaf ",morphology
15905,"stalks usually short; leaves finely dissected, and covered with fine grayish ",morphology
15906,"hairs. Flowers yellow, in compound umbels. Very early flowering. Fruit ",morphology
15907,"flattened, about 6 mm long, and finely hairy. Common; particularly on heavier ",morphology
15908,"soils; Prairies. Syn.: L foeniculaceum (Nutt.) Coult. & Rose. Fig. 164. Hairy-fruited parsley, Lomatium villosum Raf. ",taxon_identification
15910,Musineon musineon ,morphology
15911,Low-growing plants with long thickened roots and much-dissected bright ,key
15912,"green leaves. Flowers yellow, in compound umbels; fruit not flattened as in ",morphology
15913,Lomatium. Differing also from Lomatium by having no hairs on stem or leaves. ,morphology
15914,Musineon divaricatum (Pursh) Nutt. leafy musineon ,taxon_identification
15915,"A low-growing plant 10-20 cm high, with doubly pinnate bright green ",morphology
15916,"leaves and yellow flowers in compound umbels 2-6 cm across. Fruit smooth, ",morphology
15917,2-3 mm long. Fairly common; on dry ground; throughout Prairies and southern Parklands. Includes M. trachyspermum Nutt. ,morphology
15918,Osmorhiza sweet cicely ,taxon_identification
15919,Perennial herbs from thick sweet-scented roots. Stems tall and leafy with ,morphology
15920,"white or yellow flowers and narrow, linear, bristly-ribbed, long-stalked fruit. ",morphology
15921,1. Flowers yellow or greenish; fruit ,key
15922,glabrous O. occidentalis ,key
15923,Flowers white; fruit pubescent 2 ,key
15924,2. Involucral bracts present O. ahstata ,key
15925,Involucral bracts absent O. chilensis ,key
15926,Osmorhiza aristata (Thunb.) Mak. & Yabe smooth sweet cicely ,taxon_identification
15927,"A plant 30-90 cm high, from thick, rough, fleshy roots. Stems smooth; ",morphology
15928,"leaf stalks twice or three times divided into 3's, ending in lanceolate or ovate ",key
15929,"leaflets 2-7 cm long, pointed at apex, and coarsely toothed. Flowers small, ",morphology
15930,"white, in compound umbels, with green leaf-like bracts at base of each umbellet or terminal small umbel. Fruit 15-25 mm long, pointed at apex, on a long ",morphology
15931,stalk. Fairly common; in shady moist woodlands. Two varieties occur. In var. ,habitat
15932,brevistylis (DC.) Boiv. the foliage pubescent and the style 0.5-2.0 mm long; ,morphology
15933,found in southeastern Parklands and Boreal forest. In var. longistylis (Torr.) ,habitat
15934,"Boiv. (Fig. 165) the stem glabrous, the foliage glabrous or nearly so, and the ",morphology
15935,"style 2.0-3.5 mm long; found throughout Prairies, Parklands, and Boreal forest. ",morphology
15936,Osmorhiza chilensis Hook. & Arn. blunt-fruited sweet cicely ,taxon_identification
15937,A plant 30-90 cm high with much-branched stems and fleshy roots. ,morphology
15938,Leaves thin; stalks twice divided into 3's. The compound umbels bearing small ,key
15939,white flowers. Fruit bearing a conical beak slightly longer than 1.5 mm. Fairly ,morphology
15940,plentiful in woods. Syn.: O. divaricata (Britt.) Suksd. Three varieties are distinguished in this species: ,taxon_identification
15941,"1. Fruits 20-25 mm long, longer than the ",key
15942,pedicels var. chilensis ,key
15943,Fruits less than 20 mm long 2 ,key
15944,"2. Fruits about 15 mm long, mostly shorter ",key
15945,than the pedicels var. cupressimontana Boiv. ,key
15946,"Fruits about 10 mm long, shorter than the ",key
15947,"pedicels, blunt var. purpurea (Coult. & Rose) Boiv. ",taxon_identification
15949,"Fig. 165. Smooth sweet cicely, Osmorhiza aristata (Thunb.) Mak. & Yabe ",taxon_identification
15950,var. longistylis (Torr.) Boiv. ,taxon_identification
15952,"Of these, var. chilensis occurs in Cypress Hills and Rocky Mountains; var. ",habitat
15953,cupressimontana (O. obtusa (Coult. & Rose) Fern.) throughout Parklands; and ,taxon_identification
15954,var. purpurea (O. purpurea (Coult. & Rose) Suksd.) in southern Rocky Mountains. ,taxon_identification
15955,Osmorhiza occidentalis (Nutt.) Torr. western sweet cicely ,taxon_identification
15956,"Plants 30-100 cm high, villous at the nodes; leaves 10-20 cm long, ovate ",morphology
15957,"or oblong, 1- to 3-ternate, with the ultimate divisions 2-10 cm long, lanceolate ",morphology
15958,"to ovate, serrate to lobed. Umbels 3-7 cm across, with 5-12 rays, stiffly ascending to spreading; fruit linear-fusiform 12-20 mm long; styles 1 mm long or ",morphology
15959,"less, glabrous or rarely bristly at base. Open woods and meadows; southern ",morphology
15960,Rocky Mountains. ,habitat
15961,Pastinaca parsnip ,morphology
15962,Pastinaca sativa L. wild parsnip ,taxon_identification
15963,"Plants biennial, to 1.5 m high. Leaflets 5-15, usually ovate or oblong, 5-10 ",morphology
15964,"cm long, serrate or lobed. Umbel 10-20 cm across, with 15-25 rays; fruit 5-7 ",morphology
15965,mm long. Introduced; occasionally escaped from cultivation. ,key
15966,Perideridia squawroot ,morphology
15967,Perideridia gairdneri (Hook. & Arn.) Mathias squawroot ,taxon_identification
15968,"A narrow, erect plant 30-80 cm high. Fleshy tuberous roots, often with a ",morphology
15969,"fascicle or cluster of tubers. Leaves pinnate, of very narrow leaflets 2-15 cm ",morphology
15970,"long. Flowers very small, white, in compound umbels 3-8 cm across. Fruit ",morphology
15971,"somewhat flattened, brown, slightly longer than 1.5 mm. The roots were used ",morphology
15972,"by Indians for food. Found in meadows, woodlands, and ravines; in southern ",habitat
15973,Rocky Mountains and Cypress Hills. Syn.: A tenia gairdneri Hook. & Arn. ,taxon_identification
15974,Sanicula snakeroot ,morphology
15975,Sanicula marilandica L. (Fig. 166) snakeroot ,taxon_identification
15976,"An erect plant 30-100 cm high, with long-stalked basal leaves and stalkless upper leaves. Leaves of 5 or 7 palmately arranged leaflets, oblanceolate, ",morphology
15977,"sharply toothed, 4-20 cm long. Flowers greenish white, in compound umbels ",morphology
15978,"of several almost globular umbellets, each 6-15 mm in diam. Fruit about 6 mm ",morphology
15979,"long, densely covered with fine hooked bristles. Common; in moist, rich woodlands; throughout the Prairie Provinces. ",morphology
15980,Scandix shepherd's-needle ,morphology
15981,Scandix pecten-veneris L. venus'-comb ,taxon_identification
15982,"An annual plant 20-40 cm high, branching from the base, and hispidulous ",morphology
15983,"throughout. Leaves pinnately decompound, with the ultimate segments 2-5 ",morphology
15984,"mm long, linear. Umbels 2-4 cm across, with 1-3 primary rays; fruit 5-12 mm ",morphology
15985,"long, with a flat straight beak, usually about 4 cm long. An introduced weed, ",key
15986,rare. ,habitat
15989,"Fig. 166. Snakeroot, Sanicula marilandica L. ",taxon_identification
15991,Sium water-parsnip ,morphology
15992,Slum suave Walt. (Fig. 167) water-parsnip ,taxon_identification
15993,"Tall, erect marsh plants from stout rootstocks, 60-200 cm high, with ",morphology
15994,"smooth, hollow stems. Two kinds of leaves: early underwater leaves twice or ",morphology
15995,three times pinnate with thread-like leaflets; later growing abovewater leaves ,morphology
15996,singly pinnate with linear or narrowly lanceolate sharply toothed leaflets 2-10 ,morphology
15997,"cm long. Flowers white, in compound umbels 5-8 cm across. Fruit about 3 ",morphology
15998,"mm long, ovate and somewhat compressed, bearing prominent ribs. Very common; in sloughs and wet places; throughout the Prairie Provinces. Thought to ",morphology
15999,"have slightly poisonous properties, but not so dangerous as the water-hemlock, ",morphology
16000,which it closely resembles. Eaten readily by all classes of livestock without bad ,morphology
16001,"effect. Water-parsnip has singly pinnate leaves, with narrow leaflets and many ",morphology
16002,small bracts at base of compound flower umbel; water-hemlock has compound ,morphology
16003,"pinnate leaves, with lanceolate leaflets and usually no bracts at the base of the ",morphology
16004,umbel. Both species have bracts at the base of each separate umbellet or single ,key
16005,portion of the compound umbel. Syn.: S. cicutaefolium Schrank. ,taxon_identification
16006,Zizia alexanders ,morphology
16007,"Smooth, shiny plants growing to 60 cm high. Leaves simple or divided ",morphology
16008,"into broad serrated leaflets. Flowers yellow, with bracts only at base of ",morphology
16009,umbellets. ,morphology
16010,Basal leaves simple and cordate Z. aptera ,key
16011,All leaves divided into 3 leaflets Z. aurea ,key
16012,Zizia aptera (Gray) Fern. heart-leaved Alexanders ,taxon_identification
16013,"An erect plant 30-60 cm high, with long-stalked cordate basal leaves and ",morphology
16014,"thrice- divided stem leaves having ovate leaflets. Flowers bright yellow, in compound umbels, early flowering. Very common; in moist places; throughout the ",morphology
16015,Prairie Provinces. Syn.: Z. cordata (Walt.) Koch. ,taxon_identification
16016,Zizia aurea (L.) Koch golden Alexanders ,taxon_identification
16017,"Very similar to Z. aptera, but all leaves twice or three times divided into ",key
16018,leaflets. Fairly common; in meadows and woodlands; eastern Prairies and ,habitat
16019,Parkland. ,habitat
16021,CORNACEAE — dogwood family ,taxon_identification
16022,Cornus dogwood ,taxon_identification
16023,"Herbs, shrubs, or small trees with simple leaves and perfect flowers; the ",morphology
16024,floral parts in 4's. Fruit a small drupe with a 2-seeded stone. ,key
16025,AC. &udd ,taxon_identification
16027,"Fig. 167. Water-parsnip, Sium suave Walt. ",taxon_identification
16029,"Low herbs, with 4 large petal-like bracts ",key
16030,surrounding minute heads of flowers C. canadensis ,key
16031,"Shrubs or small trees, with cymes of ",morphology
16032,flowers not surrounded by bracts 2 ,key
16033,Leaves alternate; fruit bluish C. alternifolia ,key
16034,Leaves opposite; fruit white or blue 3 ,key
16035,"Twigs pale green, mottled with purple; ",morphology
16036,fruit blue C. rugosa ,key
16037,Twigs not purplish-mottled; fruit white 4 ,key
16038,Leaves mostly lanceolate; branches and ,key
16039,inflorescence practically hairless; pith ,morphology
16040,of young branches tawny; bark grayish C. racemosa ,key
16041,Leaves mostly ovate; branches and ,key
16042,inflorescence with appressed hairs and ,morphology
16043,often woolly; pith of young branches ,key
16044,white; bark reddish or reddish brown C. alba ,key
16046,Cornus alba L. red-osier dogwood ,taxon_identification
16047,"A shrub 1-2 m high, with bright reddish-colored twigs and opposite ",morphology
16048,"leaves. Leaves generally ovate, with rounded base and pointed apex, 2-8 cm ",morphology
16049,"long, paler beneath, and with a few short appressed hairs. Small white flowers ",morphology
16050,"borne in flat-topped clusters 2-5 cm across. Flowering in early June, producing globular white fruit about 6 mm in diam. Very conspicuous in winter ",key
16051,because of its reddish branches. Common; in woodlands and coulees; ,key
16052,throughout the Prairie Provinces. Syn.: C. stolonifera Michx.; Svida stolonifera ,taxon_identification
16053,"(Michx.) Rydb. Besides the typical form, two varieties are recognized. In var. ",taxon_identification
16054,"interior (Rydb.) Boiv. the lower leaf surface, young twigs, and inflorescence are ",morphology
16055,densely pubescent; found mainly in shrubbery in Prairies. The var. bailey i ,key
16056,(Coult. & Evans) Boiv. differs from the species by undersides of leaves becoming woolly at maturity; common in southeastern Parklands. ,morphology
16057,Cornus alternifolia L. f. alternate-leaved dogwood ,taxon_identification
16058,"A shrub or small tree 2-6 m high, with green branches striped with white. ",morphology
16059,"Leaves borne alternately on the stems, ovate, long, 5-12 cm long, pale ",morphology
16060,"beneath. Flowers white, followed by bluish fruit. Very rare; but has been ",morphology
16061,found in southeastern Parklands and Boreal forest. ,morphology
16062,Cornus canadensis L. (Fig. 168) bunchberry ,taxon_identification
16063,"Low-growing herbs from a horizontal slender rootstock, with woodybased stems 5-15 cm high. One pair of small leaves about the middle of stem ",morphology
16064,and an apparent whorl of ovate leaves 2-8 cm long near the head of the stem. ,morphology
16065,"Four petal-like white involucral bracts 10-25 mm long, at head of stem, surrounding a cluster of tiny greenish flowers. Fruit a bright red drupe about 6 ",key
16066,"mm across, borne in a cluster. Very common; in shady woodlands; throughout ",morphology
16067,the Prairie Provinces. Syn.: Chamaepericlymenum canadense (L.) Aschers. & ,taxon_identification
16068,Graebn. ,taxon_identification
16071,"Fig. 168. Bunchberry, Cornus canadensis L. ",taxon_identification
16073,Cornus racemosa Lam. panicled dogwood ,taxon_identification
16074,"A shrub 2-3 m high, with smooth gray bark. Leaves usually lanceolate, ",morphology
16075,"opposite, 4-10 cm long. Flowers and fruit white, stone of fruit slightly grooved. ",morphology
16076,Not common; but has been found in woodlands and along streams; southeastern Boreal forest. ,habitat
16077,Cornus rugosa Lam. spotted dogwood ,taxon_identification
16078,"A shrub 1-3 m high, with the young branches yellow green, mostly mottled with purple or red. Leaves ovate to rotund, 7-12 cm long, softly white ",morphology
16079,"pubescent below. Inflorescence flat-topped or slightly convex, 3-6 cm across; ",morphology
16080,"fruit about 6 mm across, light blue. Shady woods; southeastern Parklands and ",morphology
16081,Boreal forest. ,habitat
16083,PYROLACEAE — wintergreen family ,taxon_identification
16084,"Perennial, usually evergreen herbs with long rootstocks. Leaves thick and ",morphology
16085,"leathery. Flowers perfect, in racemes or corymbs, with 4 or 5 sepals, 4 or 5 petals, and 8 or 10 stamens. Fruit a capsule. ",key
16086,1. Plants with leafy stems and corymbose ,key
16087,inflorescence Chimaphila ,key
16088,Plants with leaves in a basal rosette; ,key
16089,flowers singly or in a raceme 2 ,key
16090,2. Flowers borne singly Moneses ,key
16091,Flowers in a raceme Pyrola ,morphology
16093,Chimaphila prince's-pine ,taxon_identification
16094,Chimaphila umbellata (L.) Bart. var. occidentalis (Rydb.) Blake pipsissewa ,taxon_identification
16095,"A low perennial herb with decumbent stems 10-20 cm high, with whorled ",morphology
16096,"oblanceolate leaves 2-8 cm long, dark green and shiny above, paler beneath. ",morphology
16097,"Flowers pinkish white, borne 4-7 in a cyme. Not common; in forested areas ",morphology
16098,"on dry soil; Parklands, Boreal forest, and Cypress Hills. ",habitat
16099,Moneses one-flowered wintergreen ,taxon_identification
16100,"Moneses uniflora (L.) Gray (Fig. 169,4) one-flowered wintergreen ",taxon_identification
16101,"A small herb 5-15 cm high, from a slender rootstock. Leaves round to ",morphology
16102,"ovate, 10-25 mm long, and borne in 1 or 2 pairs or in whorls near base of stem. ",morphology
16103,"Flowers (Fig. 7) solitary and nodding at head of short stem, each flower usually with 5 waxy white petals, fragrant, 10-15 mm across. Two stamens ",morphology
16104,"for each petal and a straight style with a knobbed summit. Found in cool, ",morphology
16105,"moist woodlands; Parklands, Boreal forest, and Cypress Hills. Syn.: Pyrola ",habitat
16106,uniflora L. ,taxon_identification
16108,"Fig. 169. Wintergreens: A, one-flowered wintergreen, Moneses uniflora (L.) ",taxon_identification
16109,"Gray; B, pink wintergreen, Pyrola asarifolia Michx. var. incarnata Fern.; C, ",taxon_identification
16110,"one-sided wintergreen, Pyrola secunda L. ",taxon_identification
16112,Pyrola wintergreen ,taxon_identification
16113,"Low-growing evergreen herbs from slender creeping rootstocks, with ",morphology
16114,"round or oval stalked basal leaves. Inflorescence a long narrow raceme of perfect, regular, nodding flowers, usually with a protruding style. Fruit a small ",morphology
16115,round capsule. ,morphology
16116,"1. Style straight, not protruding conspicuously from flower P. minor ",key
16117,Style conspicuously protruding from ,morphology
16118,flower 2 ,key
16119,2. Flowers crowded on one side of the stem ,key
16120,(secund); style straight P. secunda ,key
16121,Flowers not all on one side of stem; style ,morphology
16122,curved 3 ,key
16123,3. Petals pink or purplish 4 ,key
16124,Petals white or greenish 5 ,key
16125,"4. Leaves subentire; the apex rounded, dull ",key
16126,"above, thin P. asarifolia ",key
16127,Leaves denticulate-margined; the apex ,morphology
16128,"acute, shiny above, firm P. bracteata ",key
16129,"5. Leaves ovate-lanceolate, acute; the main ",key
16130,veins whitish P. picta ,key
16131,Leaves rotund to elliptic; the veins not ,key
16132,whitish 6 ,key
16133,"6. Sepals oblong to elliptic, much longer ",key
16134,than wide; leaves subrotund P. rotundifolia ,key
16135,"Sepals more or less triangular, as wide as ",morphology
16136,long; leaves elliptic or rotund 7 ,key
16137,"7. Leaves broadly elliptic to oblong, 3-7 cm ",key
16138,"long, mostly longer than the petioles P. elliptica ",key
16139,"Leaves obovate to subrotund, 1-3 cm ",morphology
16140,"long, often shorter than the petioles P. virens ",key
16141,Pyrola asarifolia Michx. pink wintergreen ,taxon_identification
16142,"A plant 10-30 cm high with leathery, shiny basal leaves, cordate at base, ",morphology
16143,"2-5 cm wide. Flowers 7-15, pinkish, 8—12 mm across when fully opened, in an ",morphology
16144,"open raceme and usually nodding; with 5 sepals, 5 petals, and a protruding ",key
16145,style. Fairly common; in moist woods; throughout the Prairie Provinces. The ,habitat
16146,var. incarnata Fern. (Fig. 1695) differs from the typical form by having leaf ,taxon_identification
16147,blades rounded or tapering at base instead of being cordate. Found in similar ,morphology
16148,locations as the typical form. ,morphology
16149,Pyrola bracteata Hook. large wintergreen ,taxon_identification
16150,"Plants with stems 20-30 cm high, with 1 or 2 scarious bracts on the stem ",key
16151,below the inflorescence. Leaves with petioles about the same length as the ,key
16152,"blades, 3-8 cm long, ovate to subrotund, dark green above, pale or reddish ",morphology
16153,brown below. Flowers rose purple or dull red; petals 6-8 mm long; floral ,morphology
16154,"bracts conspicuous, to twice as long as the pedicel. Rare; damp coniferous ",morphology
16155,woods; southern Rocky Mountains. ,habitat
16156,Pyrola elliptica Nutt. common shinleaf ,taxon_identification
16157,"Leaves broadly elliptic or oblong, with the petioles often very short. Stems ",morphology
16158,"10-30 cm high; flowers 8-12 mm across, white, often greenish- or pinkishveined. Not common; damp coniferous woods; Boreal forest. ",morphology
16159,Pyrola minor L. lesser wintergreen ,taxon_identification
16160,"A small species with thin dark green oval or rounded leaves 1-3 cm long, ",morphology
16161,"on fairly long basal stalks. Flowers small, about 6 mm across, white or faintly ",morphology
16162,"pinkish, in a rather crowded raceme on a stem 5-20 cm high. Found occasionally; in woodlands; Boreal forest, Riding Mountains, and Cypress Hills. Syn.: ",morphology
16163,Braxilia minor (L.) House. ,taxon_identification
16164,Pyrola picta Sm. white-veined shinleaf ,taxon_identification
16165,"Stems 10-20 cm high; leaves 2-7 cm long, entire or denticulate, with the ",morphology
16166,"petioles about the same length as, or shorter than, the blade, white-mottled ",morphology
16167,along the principal veins. Flowers yellowish white; petals 7-8 mm long; floral ,key
16168,bracts shorter than the pedicel. Rare; coniferous forests; southern Rocky ,habitat
16169,Mountains. ,habitat
16170,Pyrola rotundifolia L. common wintergreen ,taxon_identification
16171,"Stems 10-30 cm high, with 1 or 2 bracts; leaves 3-8 cm long, subrotund or ",morphology
16172,"somewhat ovate or obovate, entire to crenate. Flowers white; petals 6-10 mm ",morphology
16173,"long; floral bracts the same length as, to longer than, the pedicel. Coniferous ",morphology
16174,woods; Boreal forest. ,habitat
16175,Pyrola secunda L. (Fig. 169C) onesided wintergreen ,taxon_identification
16176,"A rather small species, usually growing in colonies from a much-branched ",morphology
16177,"rootstock. Leaf blades thin, oval to lanceolate, pointed at both ends, 2-6 cm ",morphology
16178,"long. Flowers small, about 6 mm across, and crowded on one side of the short ",morphology
16179,"stem, 5-20 cm high. Fairly common; in woodlands and bluffs; throughout the ",morphology
16180,Prairie Provinces. Syn.: Orthilia secunda (L.) House. ,taxon_identification
16181,Pyrola virens Schweigg. greenish-flowered wintergreen ,taxon_identification
16182,"Basal leaves round or broadly oval, rounded at the apex. Leaves thick and ",morphology
16183,"dull, on rather long stalks; blades 1-3 cm wide. Flowers greenish white, 8-12 ",morphology
16184,"mm across when opened, and borne racemosely on a stem 10-20 cm high; ",morphology
16185,3-10 flowers in an inflorescence. Found in moist coniferous forest; throughout ,morphology
16186,the Prairie Provinces. Syn.: P. chlorantha Swartz. ,taxon_identification
16187,MONOTROPACEAE — Indian-pipe family ,taxon_identification
16188,Plants parasitic on the roots of other plants or feeding on dead organic ,morphology
16189,"matter (saprophytic). No green coloring in leaves, which are reduced to scales. ",morphology
16190,"Flowers perfect, usually drooping, with 6-12 stamens. Fruit a single-celled ",morphology
16191,capsule with numerous seeds. ,morphology
16192,Petals united; stem sticky with an enlarged ,key
16193,bulb-like base Pterospora ,morphology
16194,"Petals distinct; stem not enlarged and bulblike at base, not sticky Monotropa ",morphology
16195,Monotropa pinesap ,taxon_identification
16196,Flowers solitary at summit of stem U. uniflora ,key
16197,Flowers several in a raceme M. hypopithys var. latisquama ,key
16198,Monotropa hypopithys L. var. latisquama (Rydb.) Kearn. & Peebles pinesap ,taxon_identification
16199,"A pinkish- or yellowish-stemmed plant 15-30 cm high, with drooping ",morphology
16200,"flowers 10-15 mm long. No leaves, but merely stalkless scales on stem. Very ",morphology
16201,rare; found in rich soil in forests; southern Rocky Mountains and Cypress ,habitat
16202,Hills. Syn.: Hypopithys latisquama Rydb. ,taxon_identification
16203,Monotropa uniflora L. indian-pipe ,taxon_identification
16204,"Stems 10-30 cm high, scaly, white, with a single drooping flower. Plants ",morphology
16205,turning black during drying. Rare; found in damp woodlands; Boreal forest. ,habitat
16206,Pterospora pinedrops ,taxon_identification
16207,Pterospora andromedea Nutt. pinedrops ,taxon_identification
16208,"Tall sticky-stemmed plants with enlarged bases, growing from a rounded ",morphology
16209,"mass of roots. Stems 15—90 cm high, often more than 2 cm in diam, usually ",morphology
16210,pinkish or purplish. Leaves reduced to numerous narrow scales. Flowers borne ,morphology
16211,"in an open raceme, whitish, 6-10 mm across. Fruit a capsule containing ",morphology
16212,numerous small seeds. Rare; found in rich coniferous woods; southern Rocky ,habitat
16213,Mountains and Cypress Hills. ,habitat
16215,ERICACEAE — heath family ,taxon_identification
16216,"Perennial plants, usually shrubby, with perfect flowers. Fruit usually a ",morphology
16217,"capsule, but sometimes a berry or drupe, with the ovary superior. ",morphology
16218,1. Stems erect 2 ,key
16219,Stems prostrate to decumbent or ,morphology
16220,creeping 7 ,key
16221,2. Leaves scaly resinous or rusty tomentose ,key
16222,below Ledum ,taxon_identification
16223,Leaves not scaly resinous or rusty tomentose below 3 ,key
16224,3. Leaves white glaucous below 4 ,key
16225,Leaves not white glaucous below 5 ,key
16226,"4. Leaves opposite; corolla rotate, 6-12 mm ",key
16227,across Kalmia ,key
16228,"Leaves alternate; corolla urn-shaped, 5-7 ",morphology
16229,mm long Andromeda ,morphology
16230,5. Leaves brownish scurfy; inflorescence a ,key
16231,leafy secund raceme Chamaedaphne ,morphology
16232,"Leaves green, not scurfy; inflorescence ",morphology
16233,not as above 6 ,key
16235,"6. Flowers large, about 2 cm across; leaves ",key
16236,narrowly oblanceolate Rhododendron ,key
16237,"Flowers smaller, about 1 cm long; leaves ",morphology
16238,obovate Menziesia ,key
16239,"7. Leaves 2-6 cm long, oval or ",key
16240,spatula te-obovate 8 ,key
